ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
77382913,0,22NOV64,34.0,0,10.0,62978.0,0,0.0,no,f,bachelors,clerical,34,Private,11200.0,1,suv,0,0.0,0,0,0.0,2501.0,1.0,1,highly urban/ urban
856886560,0,22OCT49,50.0,0,7.0,106952.0,0,0.0,no,male,bachelors,professional,48,Commercial,18510.0,7,van,0,0.0,0,0,1.0,0.0,17.0,0,highly rural/ rural
308455362,0,25DEC45,53.0,0,14.0,77100.0,0,0.0,no,f,masters,lawyer,15,Private,18300.0,1,sports car,0,0.0,0,0,0.0,6077.0,11.0,1,highly urban/ urban
989828809,0,19JUN56,43.0,0,5.0,52642.0,0,209970.0,yes,f,masters,professional,36,Private,22420.0,7,minivan,0,0.0,0,0,0.0,0.0,1.0,0,highly rural/ rural
376482434,0,03MAR44,55.0,0,11.0,59162.0,0,180232.0,yes,male,bachelors,manager,25,Commercial,17600.0,7,van,1,5028.0,2,1,3.0,0.0,9.0,0,highly urban/ urban
665591504,0,19JUL46,53.0,0,11.0,130795.0,0,0.0,no,male,phd,unknown,64,Commercial,28340.0,6,panel truck,1,0.0,0,0,3.0,1267.0,10.0,1,highly urban/ urban
713692930,0,17AUG64,35.0,2,11.0,21204.0,1,0.0,no,male,high school,clerical,74,Private,9230.0,6,pickup,0,0.0,0,1,0.0,0.0,4.0,0,highly rural/ rural
588888550,0,17JAN54,45.0,0,0.0,0.0,0,106859.0,yes,f,<high school,home maker,48,Private,6000.0,1,suv,0,0.0,0,0,3.0,2920.0,5.0,1,highly urban/ urban
140015922,0,06AUG60,39.0,3,12.0,51884.0,1,180951.0,no,f,bachelors,clerical,43,Private,10590.0,6,suv,0,0.0,0,0,0.0,0.0,13.0,0,highly rural/ rural
162166370,0,19APR40,59.0,0,12.0,87460.0,0,0.0,no,male,high school,manager,45,Private,15420.0,1,minivan,1,11618.75,2,0,4.0,4111.0,1.0,1,highly urban/ urban
884513944,0,20DEC56,42.0,0,11.0,59945.0,0,192207.0,yes,male,masters,lawyer,42,Private,14190.0,6,minivan,0,0.0,0,0,0.0,0.0,16.0,0,highly urban/ urban
627708979,0,14SEP65,34.0,3,13.0,34019.0,0,91875.0,yes,f,masters,lawyer,27,Private,8300.0,7,suv,0,0.0,0,0,0.0,0.0,20.0,0,highly urban/ urban
116375554,0,06OCT68,31.0,2,12.0,18903.0,0,93797.0,yes,f,<high school,clerical,48,Private,17330.0,4,minivan,0,0.0,0,0,0.0,0.0,7.0,0,highly urban/ urban
235358484,0,22FEB71,28.0,1,13.0,44077.0,0,170598.0,yes,f,high school,blue collar,29,Commercial,8710.0,6,suv,0,8935.0,2,0,0.0,6857.0,1.0,1,highly urban/ urban
528040687,0,07FEB56,43.0,0,13.0,37214.0,0,160661.0,yes,male,<high school,blue collar,52,Commercial,26560.0,1,panel truck,1,0.0,0,0,3.0,3627.0,1.0,1,highly urban/ urban
652572577,0,16DEC50,48.0,0,14.0,96274.0,0,282904.0,yes,f,masters,lawyer,36,Private,11130.0,6,suv,0,8250.0,1,0,5.0,0.0,14.0,0,highly urban/ urban
410873772,0,24JUL52,47.0,0,11.0,46281.0,0,0.0,no,f,<high school,blue collar,29,Private,19700.0,10,minivan,0,0.0,0,0,1.0,0.0,5.0,0,highly urban/ urban
254362485,2,06JUL55,44.0,2,0.0,0.0,0,82344.0,yes,f,high school,home maker,8,Private,5900.0,6,suv,0,3338.0,3,0,0.0,0.0,11.0,0,highly urban/ urban
69165559,0,14APR53,46.0,0,14.0,53529.0,0,207519.0,yes,male,bachelors,professional,7,Commercial,25660.0,1,panel truck,0,2119.0,1,0,2.0,0.0,12.0,0,highly urban/ urban
201327208,0,14DEC38,60.0,0,12.0,37940.0,0,182739.0,yes,f,high school,blue collar,16,Commercial,11290.0,1,sports car,0,0.0,0,0,0.0,5247.0,1.0,1,highly urban/ urban
573751437,0,14DEC65,33.0,1,13.0,79606.0,0,225962.0,yes,f,bachelors,professional,27,Private,16830.0,9,suv,0,0.0,0,0,2.0,0.0,15.0,0,highly rural/ rural
483050926,0,17APR67,32.0,1,9.0,31275.0,0,118160.0,yes,f,high school,clerical,26,Private,10030.0,1,suv,0,0.0,0,0,0.0,4486.0,1.0,1,highly urban/ urban
146989842,1,09APR55,44.0,2,17.0,45488.0,0,219378.0,yes,male,bachelors,manager,16,Private,22090.0,17,minivan,0,0.0,0,0,0.0,0.0,12.0,0,highly urban/ urban
742435591,0,05APR64,35.0,0,8.0,72193.0,0,0.0,no,f,bachelors,clerical,26,Private,12220.0,6,suv,0,0.0,0,0,3.0,0.0,12.0,0,highly urban/ urban
915517588,0,06MAY59,40.0,2,0.0,53529.0,0,98777.0,yes,f,masters,home maker,15,Private,14130.0,6,suv,0,11618.75,2,1,4.0,0.0,12.0,0,highly rural/ rural
756785495,0,15MAY45,54.0,0,12.0,33212.0,0,158432.0,yes,male,<high school,blue collar,27,Commercial,24000.0,4,panel truck,0,0.0,0,0,5.0,4901.0,11.0,1,highly urban/ urban
66662029,0,14FEB50,49.0,0,5.0,49244.0,0,163444.0,yes,male,bachelors,clerical,30,Private,15880.0,1,minivan,0,0.0,0,0,1.0,0.0,1.0,0,highly urban/ urban
294816298,2,03AUG63,36.0,2,12.0,130540.0,1,344195.0,no,f,bachelors,blue collar,5,Commercial,27200.0,4,minivan,0,0.0,0,0,0.0,0.0,9.0,0,highly rural/ rural
686791659,0,07MAY47,52.0,0,8.0,51278.0,0,230340.0,yes,f,bachelors,professional,37,Private,1500.0,4,suv,0,0.0,0,0,1.0,0.0,10.0,0,highly urban/ urban
269341556,0,28SEP58,41.0,0,7.0,92842.0,0,286113.0,no,male,masters,unknown,12,Commercial,25810.0,6,panel truck,0,1431.0,2,0,5.0,0.0,15.0,0,highly urban/ urban
396972296,0,26JUL60,39.0,0,10.0,35081.0,0,202839.0,yes,male,bachelors,blue collar,38,Commercial,16640.0,4,van,1,0.0,0,0,0.0,0.0,13.0,0,highly urban/ urban
364483168,0,09APR43,56.0,0,0.0,0.0,0,63827.0,yes,f,phd,home maker,65,Private,13220.0,1,minivan,0,0.0,0,0,0.0,0.0,12.0,0,highly rural/ rural
866093378,0,07MAR50,49.0,0,12.0,115044.0,0,311980.0,no,f,phd,doctor,18,Private,17900.0,1,minivan,0,0.0,0,0,0.0,0.0,14.0,0,highly urban/ urban
515421877,0,30MAY61,38.0,0,11.0,37754.0,0,138823.0,yes,f,high school,clerical,47,Private,12080.0,1,suv,0,0.0,0,0,2.0,0.0,9.0,0,highly rural/ rural
173737852,0,01JUN56,43.0,2,17.0,145353.0,0,418785.0,yes,f,masters,unknown,38,Commercial,29450.0,6,van,0,0.0,0,0,0.0,0.0,15.0,0,highly urban/ urban
745183922,0,30JUN49,50.0,0,8.0,164332.25,0,0.0,no,f,phd,doctor,22,Private,34150.0,4,sports car,0,0.0,0,0,3.0,0.0,1.0,0,highly urban/ urban
298271736,0,04NOV36,63.0,0,15.0,121398.0,0,343410.0,yes,f,phd,doctor,10,Private,16270.0,1,suv,0,0.0,0,0,0.0,0.0,11.0,0,highly urban/ urban
70821537,0,12AUG47,52.0,0,0.0,0.0,0,87925.0,no,f,high school,student,48,Commercial,9280.0,1,suv,0,0.0,0,0,1.0,0.0,6.0,0,highly rural/ rural
258951025,0,24OCT64,35.0,0,7.0,14508.0,0,0.0,yes,male,bachelors,student,22,Commercial,6450.0,1,pickup,0,0.0,0,0,0.0,0.0,7.0,0,highly urban/ urban
807174588,0,16NOV56,43.0,0,13.0,75338.0,0,270555.0,yes,f,bachelors,manager,40,Private,23080.0,1,sports car,0,0.0,0,0,0.0,0.0,8.0,0,highly urban/ urban
514538041,0,06OCT58,41.0,0,10.0,32774.0,0,0.0,no,f,high school,clerical,44,Private,20120.0,4,minivan,0,0.0,0,0,0.0,0.0,1.0,0,highly rural/ rural
25561360,0,08APR59,40.0,0,11.0,57474.0,0,186418.0,yes,male,bachelors,clerical,5,Commercial,29270.0,4,panel truck,1,0.0,0,0,1.0,0.0,5.0,0,highly urban/ urban
753037176,0,07AUG68,31.0,1,12.0,26520.0,0,154493.0,yes,male,bachelors,student,62,Commercial,4600.0,6,minivan,1,0.0,0,0,2.0,0.0,5.0,0,highly urban/ urban
883748009,0,27OCT52,47.0,0,8.0,18444.0,0,0.0,yes,f,high school,student,35,Commercial,19450.0,6,suv,0,2981.0,2,0,5.0,0.0,8.0,0,highly urban/ urban
31827166,0,06JAN46,53.0,0,11.0,107259.0,0,343700.0,yes,male,masters,professional,36,Private,29230.0,10,minivan,1,0.0,0,0,0.0,0.0,15.0,0,highly urban/ urban
680782638,0,05JUN60,39.0,3,7.0,34046.0,0,183383.0,yes,f,high school,clerical,33,Private,4040.0,6,suv,0,0.0,0,0,0.0,0.0,5.0,0,highly rural/ rural
883604551,0,20MAY66,33.0,3,14.0,32364.0,0,152894.0,yes,male,<high school,clerical,40,Private,12270.0,18,minivan,1,0.0,0,0,3.0,0.0,1.0,0,highly urban/ urban
714473703,0,02JAN40,59.0,0,5.0,106775.0,0,160661.0,no,male,masters,lawyer,10,Private,31930.0,1,minivan,1,0.0,0,0,0.0,0.0,9.0,0,highly urban/ urban
213057541,0,29JAN57,42.0,0,11.0,52988.0,0,176275.0,yes,male,high school,blue collar,24,Commercial,23450.0,1,minivan,0,0.0,0,0,2.0,0.0,11.0,0,highly rural/ rural
885280620,0,26APR59,40.0,0,11.0,16989.0,0,0.0,no,male,<high school,blue collar,20,Commercial,12230.0,4,pickup,1,11618.75,1,1,7.5,6100.0,6.0,1,highly urban/ urban
931739722,0,15JUL58,41.0,2,7.0,17755.0,1,148815.0,no,f,<high school,clerical,29,Private,14480.0,1,minivan,1,0.0,0,1,2.0,0.0,1.0,0,highly urban/ urban
939401184,1,20JAN62,37.0,2,13.0,53529.0,1,0.0,no,f,high school,blue collar,62,Commercial,9360.0,4,sports car,0,0.0,0,0,0.0,6195.0,8.0,1,highly urban/ urban
840809480,0,29JUN63,36.0,3,12.0,56048.0,0,137836.0,yes,male,masters,lawyer,15,Private,10700.0,6,minivan,0,2045.0,2,0,2.0,0.0,16.0,0,highly urban/ urban
800426023,0,02DEC54,44.0,2,15.0,16352.0,0,134164.0,yes,f,high school,home maker,37,Private,10520.0,1,suv,0,7838.0,1,0,1.0,8841.0,1.0,1,highly urban/ urban
14827139,0,07FEB43,56.0,0,16.0,44760.0,0,164852.0,yes,male,bachelors,manager,30,Private,21770.0,13,minivan,1,0.0,0,0,0.0,0.0,6.0,0,highly urban/ urban
212687745,1,30DEC53,45.0,1,14.0,63952.0,0,196368.0,yes,f,masters,lawyer,50,Private,32340.0,6,van,0,11618.75,2,1,0.0,2117.0,13.0,1,highly urban/ urban
224701093,0,16APR65,34.0,3,12.0,22510.0,0,123888.0,yes,male,high school,clerical,26,Private,14690.0,4,minivan,1,0.0,0,1,0.0,1230.0,1.0,1,highly rural/ rural
401200262,0,23SEP51,48.0,0,11.0,53529.0,0,252896.0,yes,male,bachelors,professional,14,Commercial,28560.0,13,panel truck,1,1554.0,5,0,1.0,0.0,10.0,0,highly urban/ urban
926073051,1,12OCT55,44.0,2,11.0,24060.0,1,0.0,no,male,bachelors,clerical,24,Private,14220.0,4,minivan,0,0.0,0,0,0.0,3532.0,10.0,1,highly urban/ urban
45830738,0,25JUL66,33.0,4,12.0,20822.0,0,76022.0,yes,f,high school,home maker,46,Private,6880.0,13,suv,0,7896.0,3,0,0.0,866.0,1.0,1,highly urban/ urban
997497927,0,06DEC66,32.0,3,14.0,54968.0,0,146784.0,yes,f,high school,professional,20,Private,10040.0,4,suv,0,0.0,0,1,0.0,0.0,8.0,0,highly urban/ urban
862203239,0,20OCT65,34.0,0,8.0,14194.0,0,87034.0,no,f,<high school,clerical,13,Private,2920.0,4,sports car,0,11618.75,3,1,2.0,7786.0,10.0,1,highly urban/ urban
116102677,1,06NOV61,38.0,4,12.0,2149.0,0,72889.0,yes,f,<high school,home maker,35,Private,22690.0,10,pickup,0,0.0,0,0,2.0,0.0,1.0,0,highly urban/ urban
635101571,0,18FEB64,35.0,2,12.0,53529.0,1,0.0,no,f,<high school,blue collar,43,Private,9730.0,5,suv,0,0.0,0,0,4.0,5426.0,4.0,1,highly urban/ urban
793404097,2,02JAN55,44.0,2,14.0,45576.0,0,156623.0,yes,f,<high school,blue collar,27,Private,1500.0,4,sports car,0,11618.75,1,0,7.5,0.0,8.0,0,highly urban/ urban
62434528,2,10MAY56,43.0,3,11.0,137103.0,1,0.0,no,f,masters,manager,29,Private,19510.0,1,sports car,0,8890.0,3,0,0.0,4148.0,15.0,1,highly urban/ urban
935079846,0,05SEP50,49.0,0,9.0,53529.0,0,0.0,no,male,phd,unknown,31,Commercial,33710.0,3,panel truck,0,11618.75,2,1,2.0,0.0,18.0,0,highly urban/ urban
948288985,0,25OCT53,46.0,0,10.0,79538.0,0,0.0,no,f,bachelors,manager,13,Private,14050.0,3,minivan,0,0.0,0,1,2.0,0.0,11.0,0,highly urban/ urban
396323054,0,03DEC53,45.0,1,11.0,164332.25,0,509115.0,yes,f,phd,lawyer,28,Private,10250.0,1,suv,0,4307.0,3,0,6.0,0.0,20.0,0,highly urban/ urban
299024508,0,01JAN53,46.0,0,14.0,53529.0,0,397661.0,no,male,masters,unknown,22,Commercial,33320.0,4,panel truck,1,0.0,0,1,1.0,0.0,12.0,0,highly urban/ urban
39392545,0,08NOV54,45.0,0,11.0,61931.0,0,213530.0,yes,male,masters,unknown,30,Commercial,10910.0,13,pickup,1,11618.75,2,0,0.0,0.0,7.0,0,highly urban/ urban
536604822,0,23JUL51,48.0,0,9.0,61509.0,0,195438.0,yes,male,masters,unknown,40,Commercial,23230.0,6,panel truck,1,0.0,0,0,1.0,0.0,17.0,0,highly urban/ urban
429992959,0,16SEP36,63.0,0,9.0,74426.0,0,0.0,no,f,phd,doctor,11,Private,27600.0,1,suv,0,0.0,0,0,0.0,0.0,18.0,0,highly urban/ urban
160577728,0,18FEB55,44.0,0,9.0,74722.0,0,231034.0,yes,f,bachelors,professional,9,Private,23640.0,6,minivan,0,0.0,0,0,0.0,0.0,1.0,0,highly urban/ urban
108385737,1,07MAR54,45.0,2,11.0,102393.0,1,0.0,no,male,bachelors,professional,25,Private,1500.0,1,minivan,1,0.0,0,0,2.0,2371.0,11.0,1,highly urban/ urban
414142186,0,17SEP37,62.0,0,15.0,40656.0,0,208242.0,yes,f,high school,clerical,57,Private,9170.0,4,sports car,0,11618.75,2,1,2.0,4178.0,7.0,1,highly urban/ urban
421217157,0,24NOV50,48.0,0,0.0,0.0,0,98920.0,yes,f,high school,home maker,50,Private,8660.0,3,sports car,0,8363.0,2,0,3.0,0.0,8.0,0,highly urban/ urban
935010485,1,10FEB62,37.0,2,12.0,53529.0,0,205211.0,yes,f,bachelors,blue collar,43,Commercial,5200.0,1,suv,0,2718.0,1,0,1.0,4804.0,3.0,1,highly urban/ urban
537840281,0,27AUG64,35.0,0,11.0,29371.0,0,0.0,no,f,<high school,clerical,49,Private,4860.0,10,sports car,0,0.0,0,0,0.0,0.0,1.0,0,highly urban/ urban
748139140,0,13AUG51,48.0,0,12.0,31773.0,0,165090.0,yes,male,high school,clerical,14,Commercial,9640.0,13,pickup,0,1212.0,1,0,4.0,1354.0,1.0,1,highly urban/ urban
601118153,0,26DEC59,39.0,0,11.0,33727.0,0,0.0,no,f,bachelors,clerical,27,Private,10850.0,1,suv,0,8350.0,1,0,2.0,0.0,12.0,0,highly urban/ urban
808304017,0,30MAY50,49.0,0,0.0,0.0,0,159389.0,yes,f,masters,professional,42,Private,6400.0,10,suv,0,9115.0,1,0,6.0,0.0,14.0,0,highly urban/ urban
803325269,0,24JUL55,44.0,2,15.0,139330.0,1,316900.0,no,f,high school,blue collar,35,Commercial,22050.0,10,sports car,0,0.0,0,0,0.0,0.0,1.0,0,highly rural/ rural
701235200,0,22DEC48,50.0,0,13.0,163296.0,0,447616.0,no,f,phd,lawyer,42,Private,22830.0,1,minivan,0,0.0,0,0,0.0,0.0,14.0,0,highly rural/ rural
916609661,0,03OCT69,30.0,1,10.0,17455.0,1,140978.0,no,f,<high school,blue collar,50,Private,12380.0,13,minivan,0,0.0,0,0,0.0,0.0,6.0,0,highly rural/ rural
469714824,0,03NOV45,54.0,0,11.0,71007.0,0,240833.0,yes,male,bachelors,manager,61,Private,14000.0,6,minivan,0,0.0,0,0,0.0,0.0,11.0,0,highly urban/ urban
46606719,0,06SEP61,38.0,0,0.0,0.0,0,0.0,yes,male,high school,student,41,Commercial,17470.0,10,van,0,3157.0,2,0,5.0,0.0,6.0,0,highly rural/ rural
454040458,0,09APR46,53.0,0,6.0,38036.0,0,153381.0,yes,f,high school,blue collar,32,Commercial,13140.0,1,suv,0,0.0,0,0,4.0,2425.0,1.0,1,highly urban/ urban
951246359,0,30MAR46,53.0,0,13.0,41199.0,0,150933.0,no,f,bachelors,manager,21,Private,15360.0,1,suv,0,0.0,0,0,0.0,0.0,8.0,0,highly urban/ urban
389315422,0,28NOV69,29.0,1,10.0,38042.0,1,202967.0,no,male,high school,professional,15,Private,15160.0,6,minivan,0,0.0,0,0,0.0,0.0,1.0,0,highly urban/ urban
180660768,0,20JAN41,58.0,0,11.0,91223.0,0,0.0,no,male,masters,lawyer,23,Private,10620.0,6,pickup,0,0.0,0,0,0.0,0.0,7.0,0,highly urban/ urban
184578161,0,25JUL44,55.0,0,7.0,45787.0,0,173196.0,yes,f,masters,lawyer,5,Private,19380.0,6,minivan,0,0.0,0,0,0.0,0.0,13.0,0,highly urban/ urban
59798468,0,17SEP44,55.0,0,11.0,84964.0,0,227091.0,yes,male,bachelors,blue collar,21,Commercial,5760.0,1,pickup,1,969.0,2,0,6.0,0.0,11.0,0,highly urban/ urban
957817015,0,04NOV43,56.0,0,8.0,38240.0,0,190675.0,yes,f,high school,clerical,28,Private,16220.0,4,suv,0,0.0,0,0,0.0,0.0,8.0,0,highly rural/ rural
402443529,0,20DEC59,39.0,2,0.0,0.0,0,69369.0,yes,f,high school,home maker,36,Private,8750.0,4,sports car,0,0.0,0,0,0.0,0.0,8.0,0,highly urban/ urban
298667574,2,26JUN55,44.0,2,13.0,142588.0,0,365256.0,yes,male,masters,manager,28,Private,21790.0,6,minivan,1,0.0,0,0,2.0,0.0,9.0,0,highly urban/ urban
303462460,0,13MAY65,34.0,0,11.0,51565.0,0,0.0,no,male,masters,lawyer,36,Private,18110.0,1,van,1,759.0,2,0,3.0,0.0,15.0,0,highly urban/ urban
629946797,0,08AUG65,34.0,3,0.0,0.0,0,66358.0,yes,f,high school,home maker,25,Private,11740.0,9,suv,0,1800.0,2,0,2.0,5711.0,1.0,1,highly urban/ urban
783473090,0,06JAN63,36.0,0,11.0,105384.0,0,267509.0,yes,male,masters,professional,24,Private,13800.0,7,minivan,1,11618.75,3,1,4.0,0.0,17.0,0,highly urban/ urban
8565171,0,13OCT58,41.0,0,10.0,66265.0,0,159276.0,yes,male,masters,lawyer,59,Private,12230.0,4,minivan,1,0.0,0,0,1.0,13105.0,9.0,1,highly urban/ urban
950995873,0,30APR53,46.0,0,7.0,53529.0,0,160661.0,no,male,masters,unknown,17,Commercial,23350.0,13,panel truck,1,4678.0,3,0,6.0,4061.0,17.0,1,highly urban/ urban
867703916,0,08MAR54,45.0,0,12.0,32394.0,0,0.0,no,f,high school,clerical,33,Private,13770.0,4,suv,0,0.0,0,0,0.0,0.0,1.0,0,highly urban/ urban
593582812,0,31JUL57,42.0,0,9.0,76226.0,0,217920.0,yes,male,bachelors,blue collar,18,Commercial,23390.0,13,panel truck,1,0.0,0,0,0.0,0.0,14.0,0,highly urban/ urban
22340563,1,25MAY61,38.0,3,16.0,7528.0,0,113809.0,yes,male,<high school,clerical,26,Private,8080.0,1,pickup,1,0.0,0,0,0.0,0.0,8.0,0,highly rural/ rural
679555193,0,16FEB66,33.0,4,0.0,0.0,1,0.0,no,male,high school,student,14,Commercial,15090.0,1,minivan,1,1631.0,1,0,2.0,7838.0,5.0,1,highly urban/ urban
161607403,0,01AUG62,37.0,0,0.0,53529.0,0,73890.0,yes,f,bachelors,student,48,Commercial,12850.0,7,suv,0,0.0,0,0,3.0,3660.0,6.0,1,highly urban/ urban
700623278,1,05JAN57,42.0,1,9.0,32797.0,0,160661.0,yes,f,masters,lawyer,63,Private,21690.0,1,minivan,0,0.0,0,0,2.0,0.0,14.0,0,highly urban/ urban
755810990,0,20NOV51,47.0,0,11.0,44705.0,0,217885.0,yes,f,bachelors,professional,50,Private,12840.0,1,suv,0,1533.0,2,0,0.0,5125.0,10.0,1,highly urban/ urban
464090162,0,11NOV56,43.0,1,0.0,0.0,0,70170.0,yes,f,bachelors,home maker,26,Private,8350.0,1,suv,0,0.0,0,0,3.0,0.0,7.0,0,highly urban/ urban
170483243,0,06JUN47,52.0,0,9.0,68992.0,0,216986.0,no,f,bachelors,blue collar,36,Commercial,15120.0,1,minivan,0,0.0,0,0,3.0,0.0,10.0,0,highly rural/ rural
421316364,0,08OCT56,43.0,0,11.0,132561.0,0,314433.0,no,male,masters,professional,8,Commercial,30150.0,16,panel truck,0,11618.75,1,0,0.0,0.0,1.0,0,highly urban/ urban
505563410,0,06JAN35,64.0,0,15.0,31738.0,0,197010.0,yes,male,<high school,blue collar,23,Commercial,14620.0,6,suv,0,3994.0,2,0,0.0,5085.0,1.0,1,highly urban/ urban
813759954,0,21JAN33,66.0,1,17.0,96830.0,0,325826.0,yes,male,masters,professional,23,Private,11180.0,7,suv,0,0.0,0,0,0.0,0.0,16.0,0,highly urban/ urban
37074844,0,24FEB39,60.0,0,9.0,125893.0,0,0.0,no,male,phd,unknown,21,Commercial,7500.0,9,pickup,1,7278.0,2,0,4.0,0.0,15.0,0,highly urban/ urban
130470336,2,08DEC63,35.0,4,6.0,154577.0,1,397868.0,no,f,bachelors,blue collar,27,Private,20450.0,6,suv,0,4645.0,1,0,3.0,0.0,1.0,0,highly urban/ urban
637739719,0,23APR47,52.0,0,7.0,64014.0,0,244863.0,yes,male,<high school,blue collar,33,Commercial,7900.0,4,pickup,1,8882.0,3,0,1.0,2143.0,5.0,1,highly urban/ urban
427956603,0,11SEP47,52.0,0,11.0,79348.0,0,270032.0,yes,f,high school,manager,23,Private,13150.0,11,suv,0,0.0,0,0,2.0,0.0,1.0,0,highly urban/ urban
993272296,0,26JUL43,56.0,2,14.0,164332.25,0,471701.0,yes,male,phd,unknown,31,Commercial,21100.0,1,van,1,0.0,0,0,0.0,6484.0,9.0,1,highly urban/ urban
880941719,1,08JUN61,38.0,1,7.0,53529.0,0,0.0,yes,f,high school,student,40,Private,7050.0,4,sports car,0,0.0,0,0,0.0,0.0,10.0,0,highly rural/ rural
765577228,0,08MAY44,55.0,0,15.0,108152.0,0,329756.0,yes,f,masters,manager,18,Private,12320.0,1,suv,0,0.0,0,1,0.0,0.0,15.0,0,highly urban/ urban
879477038,0,14DEC51,47.0,0,14.0,53529.0,0,276241.0,yes,male,bachelors,manager,48,Private,21320.0,1,van,1,0.0,0,0,0.0,0.0,13.0,0,highly urban/ urban
718294261,0,30SEP62,37.0,0,12.0,123520.0,0,383731.0,yes,male,bachelors,blue collar,14,Commercial,17550.0,1,van,0,0.0,0,0,0.0,0.0,9.0,0,highly urban/ urban
538875785,0,06JUL52,47.0,0,13.0,45257.0,0,160051.0,yes,male,bachelors,clerical,33,Commercial,29210.0,6,panel truck,1,0.0,0,0,0.0,0.0,11.0,0,highly urban/ urban
106556153,0,04MAR73,26.0,0,8.0,53244.0,0,0.0,no,male,bachelors,professional,28,Commercial,20920.0,3,van,1,6224.0,1,0,1.0,4028.0,8.0,1,highly urban/ urban
199037688,1,05SEP38,61.0,2,17.0,41857.0,0,169015.0,yes,f,masters,manager,35,Private,20870.0,1,sports car,0,0.0,0,0,0.0,0.0,21.0,0,highly urban/ urban
602893924,0,22OCT58,41.0,1,8.0,126468.0,1,0.0,no,f,masters,manager,34,Commercial,32690.0,3,pickup,0,0.0,0,0,2.0,2114.0,18.0,1,highly urban/ urban
52095937,3,19JUN59,40.0,3,9.0,75516.0,0,247673.0,yes,f,high school,blue collar,53,Commercial,13050.0,5,sports car,0,0.0,0,1,0.0,0.0,6.0,0,highly rural/ rural
351243985,0,06MAR47,52.0,0,16.0,76954.0,0,249290.0,no,male,bachelors,professional,44,Private,19540.0,6,minivan,1,0.0,0,1,0.0,0.0,11.0,0,highly urban/ urban
838970447,0,29JUL41,58.0,1,8.0,150352.0,0,421665.0,yes,f,masters,manager,21,Private,24240.0,6,pickup,0,0.0,0,0,0.0,0.0,17.0,0,highly urban/ urban
515204929,0,20JAN47,52.0,0,8.0,88560.0,0,244028.0,yes,male,masters,lawyer,14,Private,13630.0,1,minivan,0,0.0,0,0,4.0,0.0,17.0,0,highly urban/ urban
711833264,1,25APR61,38.0,1,12.0,37580.0,0,173495.0,yes,f,<high school,clerical,36,Private,5260.0,7,suv,0,867.0,2,0,0.0,8671.0,1.0,1,highly urban/ urban
